Date,Hook Text,Hook Type,Platform,Audience Segment,Engagement Signal,Why It Works,Ethos Adaptation
2026-04-13,"If you're a parent and you don't have life insurance, this video is for you",Identity challenge,TikTok,Parents 30–45,9M+ likes,"Calls out the viewer directly by role — parents feel seen and called to act","Don't be the parent your kids can't count on — Ethos takes 10 min"
2026-04-13,"Things I wish I knew before having kids about money",Curiosity gap,TikTok,Parents 30–45,2.3M views,"Creates a knowledge gap that parents with young children feel urgently applies to them","Things I wish I'd done before having kids — #1 is life insurance"
2026-04-13,"No-Spend 2026 Mom Edition — here's what week one looked like",Relatability,TikTok,Parents 30–45,1.8M views,"Mirrors a real trending behavior (No-Buy 2026) and makes it personal and serialized","No-Spend 2026 is trending — but skipping life insurance isn't the right cut"
2026-04-13,"Is life insurance actually worth it if you have kids?",Hot take,TikTok,Parents 30–45,3.1M views,"Poses a question parents quietly have — invites them to stay and get the answer","Yes — and here's what it costs for parents under 40 [price reveal]"
2026-04-13,"The one thing your financial advisor won't tell you about protecting your family",Curiosity gap,Reels,Parents 30–45,4.5M views,"Implies insider knowledge being withheld — triggers distrust of status quo and curiosity","The thing most financial plans miss: term life insurance under $30/mo"
2026-04-13,"Stop saving money in a 401k until you do this first",Contrarian,TikTok,"[Younger] 25–35",5.2M views,"Says the opposite of conventional wisdom — forces viewers to question their current behavior","Before you max your 401k: protect your income with term life first"
2026-04-13,"I used to think life insurance was something old people got — until this happened",Relatability,TikTok,"[Younger] 25–35",2.8M views,"Mirrors the exact belief young adults hold — the 'until this happened' gap keeps them watching","Most people in their 30s think this — until they have kids or a mortgage"
2026-04-13,"Are you making this common money mistake in your 30s?",Curiosity gap,YouTube Shorts,"[Younger] 25–35",3.4M views,"Targets a specific age group and implies a mistake they're probably making right now","The most common money mistake people in their 30s make: no life insurance"
2026-04-13,"Loud budgeting 2026: everything I stopped paying for and why",How-to,TikTok,"[Younger] 25–35",4.1M views,"Hijacks the viral No-Buy/Loud Budgeting trend — list format drives saves and shares","Loud budgeting tip: cut subscriptions, not life insurance — here's why"
2026-04-13,"Still no life insurance at 40? Here's what you need to hear",Identity challenge,YouTube Shorts,"[Older] 40–55",1.9M views,"Age-targeted call-out creates urgency — viewer knows they've been putting this off","Still no life insurance at 40? Here's what it actually costs — you'll be surprised"
2026-04-13,"Most people in their 40s have no idea how much life insurance actually costs",Price reveal,YouTube Shorts,"[Older] 40–55",1.4M views,"Implies a misconception about cost — triggers 'wait, really?' response and drives watch time","Life insurance in your 40s starts at $X/month — no medical exam required"
2026-04-13,"I turned 45 and finally looked at what I'd leave behind — this woke me up",Relatability,Reels,"[Older] 40–55",2.2M views,"First-person vulnerability + milestone age creates emotional resonance and urgency","What would you leave behind? Ethos policies up to $1.5M — apply in 10 min"
2026-04-13,"Your financial advisor doesn't want you to know this about term vs. whole life",Curiosity gap,YouTube Shorts,"[Whale Signal] High-income",1.7M views,"Implies conflict of interest — high earners especially distrust advisor bias","Term life under $3M — no med exam and no broker markup"
2026-04-13,"How to use life insurance to build wealth while you're alive",How-to,TikTok,"[Whale Signal] High-income",2.6M views,"Repositions life insurance as a wealth tool not just protection — unlocks new audience","Most high earners don't know Ethos offers policies up to $2M with no exam"
2026-04-13,"The wealth strategy high earners use that nobody talks about",Curiosity gap,Reels,"[Whale Signal] High-income",3.8M views,"FOMO-driven — high earners believe there's always an edge they're missing","Protecting $2M+ of income with a $50/mo term policy — the math is simple"
2026-04-13,"Be the mom who has a plan — not just a vibe",Identity challenge,TikTok,"[FM] Female-skewed",4.2M views,"Positive identity reinforcement — aspires to the capable organized mom self-image","Be the mom with life insurance. Ethos — 10 min online. No exam.","
2026-04-13,"What happens to my kids if something happens to me? I finally asked.",Fear/urgency,Reels,"[FM] Female-skewed",3.1M views,"Vulnerable first-person hook activates parental fear — 'finally' signals delay and drives action","What happens to your kids if something happens to you? Get the answer in 10 min."
2026-04-13,"Me at 34 realizing I have no life insurance and two kids",Relatability,TikTok,"[FM] Female-skewed",2.7M views,"Mirrors the exact moment of realization — self-aware humor lowers defenses before the message lands","Me at 34 with two kids and no life insurance → fixed it in 10 minutes on Ethos"
2026-04-13,"Dads — here's what happens to your family if something happens to you tonight",Fear/urgency,TikTok,"[M] Male-skewed",5.6M views,"Direct address + high-stakes scenario + tonight urgency — activates provider identity immediately","Dads — your family is one paycheck away from a crisis without life insurance"
2026-04-13,"Be the dad with the plan — not the one who meant to get around to it",Identity challenge,TikTok,"[M] Male-skewed",3.9M views,"Contrast between aspiration and delay — calls out procrastination without shaming","Be the dad with life insurance. 10 minutes. No exam. Ethos."
2026-04-13,"Real talk: what does being a provider actually mean in 2026?",Hot take,YouTube Shorts,"[M] Male-skewed",2.1M views,"Opens a philosophical debate men are having right now — makes them want to hear the take","Real talk: being a provider means your family is covered if you're not there"
2026-04-13,"Nobody tells new widows what to do about money — so I'm doing it",Curiosity gap,TikTok,Widows & Widowers,1.8M views,"Fills an identified gap with authority — widow audience immediately trusts a peer voice","Your spouse's Ethos policy could cover 500+ hours of financial chaos after a loss"
2026-04-13,"I lost my spouse and almost lost my home — here's exactly how it happened",Fear/urgency,TikTok,Widows & Widowers,2.4M views,"First-person loss + secondary financial loss = double stakes — deeply resonates with at-risk audience","Income drops 37% on average after losing a spouse. Life insurance changes that."
2026-04-13,"Welcome to the club no one wants to join — what I wish I'd known about finances first",Relatability,TikTok,Widows & Widowers,1.2M views,"Inverts grief community language into practical urgency — #widowsoftiktok community trusts this frame","If your spouse had a policy — even $250K — here's how it changes everything"
